epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
89,1200.3,0.03504,0.9309,1,0.36316,0.0001288,0.0001288,0.0001288
90,1213.45,0.03639,0.9309,1,0.36215,0.0001189,0.0001189,0.0001189
91,1228.13,0.03195,0.9309,1,0.36336,0.000109,0.000109,0.000109
92,1241.71,0.03174,0.93126,1,0.36362,9.91e-05,9.91e-05,9.91e-05
93,1255.17,0.03473,0.93126,1,0.36155,8.92e-05,8.92e-05,8.92e-05
94,1268.78,0.02848,0.93161,1,0.36605,7.93e-05,7.93e-05,7.93e-05
95,1282.43,0.02909,0.93126,1,0.36321,6.94e-05,6.94e-05,6.94e-05
96,1296.05,0.02926,0.93126,1,0.36398,5.95e-05,5.95e-05,5.95e-05
97,1309.57,0.02937,0.93054,1,0.36458,4.96e-05,4.96e-05,4.96e-05
98,1323.09,0.02738,0.93054,1,0.3672,3.97e-05,3.97e-05,3.97e-05
99,1336.48,0.02693,0.9309,1,0.36462,2.98e-05,2.98e-05,2.98e-05
100,1349.75,0.02948,0.93054,1,0.36596,1.99e-05,1.99e-05,1.99e-05
