name,accuracy,f1,recall,fps,params,csv_top1
YOLOv8n (Baseline),0.9366499642090194,0.8986891592161244,0.8763370614397008,539.6062986385599,1443412,0.93627
YOLOv8n + ECA,0.9112383679312813,0.8552602368745152,0.82789821656024,572.3644690319227,1340633,0.90906
YOLOv8n + CBAM,0.9069434502505369,0.8485606462172821,0.8389582354758308,451.12008202892525,1402394,0.91944
YOLOv8n + SE,0.9105225483178239,0.8483966545910758,0.825671741503853,414.69062439339166,1371478,0.91765
